legacyId,companyId
98744,44417
110404,44419
94266,44419
94268,44419
94269,44420
94271,44420
94272,44420
103311,44422
94275,44422
94277,44422
98592,44423
98593,44423
98594,44423
103309,44423
103310,44423
94278,44423
99709,44423
100049,44423
103315,44424
94279,44424
94280,44424
94281,44424
94282,44425
94283,44425
94284,44425
94285,44425
98591,44426
103314,44426
103316,44426
103317,44426
101598,44432
98744,44438
94332,44439
94335,44441
95741,44441
94337,44443
104964,44443
94339,44444
95742,44444
94340,44445
104986,44445
94344,44447
94346,44447
94347,44447
94348,44447
94350,44447
94351,44447
94352,44447
94354,44447
94355,44447
94356,44447
94357,44447
94358,44447
94359,44447
94360,44447
94361,44447
94362,44447
94363,44447
94364,44447
94365,44447
95299,44449
95301,44449
105850,44449
105851,44449
105852,44449
109967,44449
109968,44449
109969,44449
109970,44449
94371,44451
94375,44451
111862,44451
95745,44452
111861,44452
95748,44454
99480,44454
94378,44455
95749,44455
94380,44457
94381,44457
94382,44458
106499,44461
106500,44461
95755,44462
94385,44463
95756,44463
95759,44464
107475,44464
95760,44465
94386,44466
94388,44467
94390,44468
94391,44469
94392,44470
95762,44470
94394,44471
94666,44471
94398,44472
95763,44472
94400,44473
106501,44473
94401,44474
94402,44474
95765,44474
102193,44474
106496,44474
96162,44474
104946,44474
94403,44476
94404,44477
95766,44477
94405,44478
95767,44478
110542,44478
110543,44478
94406,44479
94407,44480
95769,44480
95771,44481
94409,44482
95772,44482
94412,44484
94413,44484
95775,44484
94416,44486
94420,44489
94421,44489
94429,44494
95787,44494
94430,44495
95788,44495
95789,44495
110020,44495
94432,44496
95790,44496
94433,44498
112521,44498
94434,44499
94435,44499
110544,44499
95794,44502
95796,44502
111879,44502
111880,44502
94441,44504
94442,44505
94443,44505
94444,44505
94445,44505
98897,44505
94446,44506
94449,44508
94451,44508
94452,44508
98903,44508
94453,44509
94454,44509
94455,44509
94456,44510
94457,44510
94458,44511
94459,44511
94460,44511
94461,44512
94462,44512
94463,44512
98898,44512
94464,44513
94466,44513
94467,44514
94468,44514
104726,44514
94470,44516
94471,44516
94472,44517
94473,44517
94475,44518
95801,44518
94483,44523
94486,44525
94489,44527
94490,44527
94495,44532
94499,44535
94500,44535
94501,44536
94504,44538
94505,44538
104991,44538
94510,44542
98900,44542
104975,44542
104976,44542
94512,44543
94513,44544
94514,44544
94515,44545
94516,44545
104966,44545
94519,44547
94520,44548
94521,44548
94522,44548
94523,44549
94525,44550
