title,legacyId,legacyParentId
Chak Ka Rin Farm,44544,46877
Chak na Farm  ,44942,44785
Chanchai Farm,44484,44456
CHAOM,44568,46877
Chatkrit Farm,45136,47006
"Chaveevan Farm Co.,Ltd.",44931,46939
Chayanee Farm2,45029,
Chayutpong Farm,44949,47006
Cher-aem Farm,44480,44456
Ching Thong Breeder,45176,46983
Chokchai,49676,46878
CHOKCHAI ,44726,46879
Chokdee Farm,44897,44438
Chon Buri Province/C1-Farm,45100,47015
Chonburi/Angwein Farm,49564,46877
Chonburi/Baanbueng Farm,48792,46877
Chonburi/CPF(TH),44551,46877
Choomporn,44752,44456
CPF (Thailand) Public Company Limited ,44437,
CPF Breeder Farms,46878,44437
CPF Broiler Farms,46877,44437
CPF Hatchery Farms,46879,44437
DanHatch Denmark,48977,
DanHatch Denmark Breeders,48981,48977
DanHatch Denmark Growing,49437,48977
DanHatch Denmark Hatcheries,48978,48977
DanHatch Denmark Rearing,48984,48977
DanHatch Poland S.A,45188,
DanHatch: Breeders,47018,45188
DanHatch: Hatchery,47016,45188
DanHatch: Rearing,47017,45188
Dee Farm,45186,44456
delert farm 1,44797,46983
Don Ta Phet Farm,49945,48860
Doncharoen Farm,44904,44438
Donkage Farm,50121,46983
Drobiu Sypniewo,49076,46875
Energy Farm,44470,44456
Enfield Broiler Breeders,50094,
"F & F Foods Co.,Ltd",45160,
F&F Food Slaughter House,48794,45160
Farm 128,49281,48952
Farm 152,49275,48950
Farm 155,49276,48950
Farm 156,49277,48950
Farm 70,48955,48952
Farm Chamab A,49278,48952
Farm Chamab B,49279,48952
Farm Chamab C,49280,48952
Farm Sungnoen Co. Ltd,44745,
Ferma Drobiu Debionek,49079,46875
Ferma Drobiu Jakub Jerzy Kowalewski,49671,45180
Ferma Drobiu Kamionka,49078,46875
Ferma Drobiu Nowiny,49075,46875
Ferma Drobiu Pniewski Michal,49670,45180
FERMA DROBIU W SMILOWIE,49252,46875
Ferma Drobiu Wrzaca,49077,46875
Ferma Klwow Sp.zo.o,49758,44759
Ferma Mlodynie Sp.zo.o,49757,44759
Ferma Reprodukcyjna Smilowo,44783,46875
Ferma Reprodukcyjna Wrzaca,44784,46875
Food For the World,45174,46982
Gabinet Weterynaryjny Malec i Janowscy Sp. j .,48756,48755
Galion Grupa Producentow Drobiu sp.zo.o,44759,
Gawsuwanpattana Co Ltd,49769,44456
GDF Farm,44541,46877
GFPT Public Company Limited,44656,
GLB breeder,49367,46983
GLB broiler project,49366,46982
Golden line business hatchery,44800,46984
Goldenline Business Broiler Farm,45173,46982
Goldenline Business Farm,45177,46983
Gongtoon,44706,46878
Grelavi S.A,45074,
Grienggrairungrueang Farm,49440,44456
Hanife Farm,45148,47006
Hatchery,45053,44456
Hatchery 152,49282,48951
Hatchery Nakhonratchasima,44876,44438
Hatchery Saraburi,44871,44438
Hatching Eggs Farms Sp. z o.o.,49556,47018
Head office,49646,46909
Head office,49647,46908
Heangsinchai Farm,45138,47006
"Hennika Farm Co.,Ltd.",44978,46925
Hinson Farm,44725,
Hinson Farm,44746,44745
Huaithalaeng Farm,49990,44438
Huawan Farm,49284,46982
Huawan Farm,50131,46983
Huay Hin Farm,44845,46925
Huaymara Farm,48859,47006
HUI CHUMPORN Farm,44552,46877
Hutka 64 -700 CZARNKOW,48731,46876
Infinity farm,45135,44456
Integra Breeders,46964,44772
Integra Growers,46965,44772
Integra Sp z o.o.,44772,
"Jablonna, 64-308 Rakoniwice",45192,47018
Jadet Farm,44899,44438
JAMPARHOM,44569,46877
Jaray Farm,44527,46877
Jaroon Farm,44461,44456
Jedlanka,44762,44759
Jeeruwan Farm,44455,46908
Jirada Farm,49910,47006
Jitra Farm,45058,
JRT Farm,45126,46878
K.Charoen Farm,44479,44456
K.Kai Farm,44481,44456
"K.T.W Broiler Co, Ltd",44905,44438
Kabinburi Hatchery,44721,46877
Kabinburi Hatchery,49561,46878
Kaengkoi,44636,46879
Kaengkoi,44828,46878
Kai Thong Farm,50000,44438
Kajon Farm,45060,
Kajorn Farm,44476,44456
Kamponsak Farm,45059,
KANCHANABURI 1 Farm,44553,46877
KANCHANABURI 2 Farm,46932,46877
Kaomodngum,49431,46939
Kasemsub 1,44727,46878
Kasemsub 2,44728,46878
"Kasetchon Co, Ltd",44861,
Kasi Farm,44570,46877
"Kasin Farm Ltd.,Co",49354,47006
Keangkoi Co Ltd: Broiler Breeder Farm,45199,45198
Khamika Farm,50024,47006
Khao Kheow Farm,49942,48860
Khao Khun Farm,44451,46908
Khao lam Farm,49943,48860
Khao Mai Kaew 1 Farm,44717,46877
Khao Mai Kaew 1 Farm,49027,46878
Khao Mai Kaew 2 Farm,44642,46878
Khao Mai Kaew 2 Farm,45018,46877
Khao Mai Kaew 3 Farm,44643,46878
Khao Mai Kaew 3 Farm,45019,46877
Khao Pai Farm,44824,46909
Khao Yoong Thong farm,44454,46908
Khaolaem Farm,44474,44456
Khaotein Farm,44651,46925
Khoakew 1 Farm,44509,46877
Khoakew 2 Farm,44510,46877
Khoakew 3 Farm,44511,46877
"Khon Buri K S Farm Co.,Ltd",49998,44438
Khwanjai Farm,44663,44456
Kiartthisuk,45077,
Kitanan Farm,49866,44456
Kitcharoen Farm co ltd,49905,47006
Kitcharoen Poultry (3) Farm,46933,46877
Kitcharoen Poultry 1999 (1) Farm,44529,46877
Kitcharoen Poultry 1999 (2) Farm,44523,46877
Kitsana Farm,45149,47006
Klong Luang 1  Farm,44915,44914
Klong Luang 2 Farm,44916,44914
Klongmerdsai Hatchery,44826,46907
KLONGRUNG 1 Farm,44554,46877
KLONGRUNG 2 Farm,44555,46877
Klonowa 1,44935,46875
KM3 FARM,44739,44738
KM7-9 FARM,44742,44738
Kodcharat Farm 3,45062,
KOK THAI Farm,44556,46877
Koksamrong Breeder Farm 1,44972,46926
KoKudom Farm,44644,46878
KoKudom Farm,45020,46877
Komsan Farm,44901,44438
Koodjik,44701,46878
KOR KANOON Farm,44557,46877
KOR PHO Farm,44558,46877
"Kostrzynek/Smiardowo, 89-320 WYSOKA",48730,46876
KROKSOMBOON Farm,44559,46877
Krokwa 1,44729,46878
Krokwa 2,44730,46878
Krokwa 3,49674,46878
Krokwa 4,49675,46878
"Krungthai Farm Co.,Ltd",44744,44656
Krungthai Food (Plc),44849,44656
Krungthai Hatchery,44850,44656
Kruthahan Farm,50023,47006
Kuaihong Farm,45042,
Kulsuwan Farm,49991,44438
KUMYAI,44571,46877
Ladbuakhao,44731,46879
Ladbuakhao 1,44700,46878
Ladbuakhao 2,44733,46878
Ladbuakhow 1 Farm,49559,46878
LadTakean 1 Farm,44712,46877
LadTakean 2 Farm,45015,46877
LadTakean 3 Farm,44639,46878
LadTakean 3 Farm,45016,46877
Laemthong Poultry Co.Ltd.,44738,
Lamnangkaew Farm,49288,46982
Lamnangkaew Farm,50122,46983
Lamsonthi,44709,46878
Lao Khwan Hatchery,49954,47007
Layer Farm (Renting Farm),49953,48860
Leavers,44741,
Leavers,44749,
Life Production,45189,45188
Limited Partnership Chor Subcharoen Farm ,49603,44438
Logistics,44848,44456
Lopburi,45131,46925
Lopburi Farm,44996,
Lopburi province/Thapmongkol Farm,45115,47013
LR Farm,45127,46878
Lubiesza 10 08-322 Ceranow,49152,46965
LUM MAHACHAI Farm,44560,46877
M.L. Golden (2) Farm,44540,46877
M.L. Golden (3) Farm,44816,46877
M.L. Golden Farm,44531,46877
Maiphatthana 1 Farm,44507,46877
Mana Farm,44948,47006
Mieczownica,44698,44695
Minburi/Bangna Centre,44965,46877
"MKS Farm Co.,Ltd.",44657,44656
"ML Golden Farm Co.,Ltd",49604,44438
Monnang Farm,44716,46877
MUAKLEK,44572,46877
MUAKLEK,44834,46879
MUAKLEK,50133,46878
Muengrat Farm,49400,44456
Nakhonluang (NKL),48953,48950
Nakhonluang Hatchery (NKH),49914,48951
Nakhonratchasima,44964,46877
"Nakhonratchasima / 36,38 Farm ",49459,46877
Nakhonratchasima / Banphot Farm ,49453,46877
Nakhonratchasima / Decha Pakthongchai Farm Company Limited,44812,46877
Nakhonratchasima / Jirawat Farm,44444,46877
Nakhonratchasima / Kanongdech Farm,49448,46877
Nakhonratchasima / Kanongdet Farm,44814,46877
Nakhonratchasima / Maiphattana-2 Farm,44439,46877
Nakhonratchasima / Mukda Farm,49445,46877
Nakhonratchasima / P.Luentaweekit Farm,44810,46877
Nakhonratchasima / Ratchasima Kasetpan 2 Farm,44813,46877
Nakhonratchasima / Sommung Farm,49446,46877
Nakhonratchasima / Sun Flower Plus Farm,49447,46877
Nakhonratchasima /Production Manager,48788,46877
Nakhonratchasima /Thungruangthong-2 Farm,49416,46877
Nakhonratchasima/Boon Tharnthong (2012) Farm,44767,46877
Nakhonratchasima/CPF(TH),44518,46877
Nakhonratchasima/De Cha Pakthongchai Fam,44769,46877
Nakhonratchasima/GDF Farm,44764,46877
Nakhornpathom Broiler Farm,49414,46925
Nakornayok Province Farm,44992,
Nakornratchasima province/Wandee farm,45007,
Nakornratchasrima Province Farm,44993,
Narongsak Farm,49916,47006
Narumol Farm,44758,44456
Nean Mok Hatchery,45157,47007
Nern Mok Farm,44825,46908
Nertheast Farm,45110,47015
Neungjamnong Feed (2005) Co.Ltd,45170,
Ngernpresert farm,45134,44456
Nipawan Farm,49596,44438
Nittaya Farm,44522,46877
Nittaya Farm,49903,47006
Nong Grad Farm,44534,46877
NONG KHAM Farm,44561,46877
Nong Khern 1 Farm,44918,44914
Nong Khern 2 Farm,44919,44914
Nong Khet farm,44917,44914
Nong Khet Hatchery,44923,44914
Nong Krat Farm,49602,44438
Nong Num Kao 1 Farm,44920,44914
Nong Num Kao 2 Farm,44921,44914
Nong Pradu Farm,49939,48860
Nong Pradu Hatchery,49951,47007
Nong Ta Kerd Farm,49941,48860
NONG WAN LEANG 1 Farm,44562,46877
NONG WAN LEANG 2 Farm,44563,46877
Nongboonmak Farm,49287,46982
Nongboonmak Farm,50130,46983
Nongbua Farm,44465,44456
Nongjok Farm,49291,46982
Nongloeng Farm,45123,44456
Nongmakfai Farm,50002,48860
Nongmuang Farm,48857,47006
Nongnumdang Breeder Farm,44971,46926
Nongpho Farm,49285,46982
Nongpho Farm,50123,46983
Nongsarai Farm,44831,46878
Nongtanuod Farm,44462,44456
Nongyai Broiler Farm,44788,44785
Nongyang Farm,48858,47006
"Nonpakwan Farm Co.,Ltd",49979,44438
Nonpradu Farm,44621,
Nonsi,44846,44456
Noonpradoo Farm ltd.,49357,44456
Nowiny,44937,46875
Nuntajit  Farm,49080,44456
Nuttawut (2534) Farm Ltd.Part,49868,44456
O.Thongcharoenkij Farm,45011,
Ogrodowa,44936,46875
Ong- Ard Farm,48847,47006
Ongkarak,44751,44456
Ostrowki,48753,46965
P.Charoen Phan Feedmill,44661,44656
P.J Farm,44959,47006
P.P.H.U. Konspol-Bis Sp. z o.o.,49842,44695
"P.P.J Farm Co.,Ltd.",44906,44438
"P.P.M.Farm Co., Ltd.",44593,
P.P.U.H. Pasz-Konspol Sp. z o.o.,44695,
P.T Farm,44472,44456
P.T Farm 2 Co.Ltd,44806,44438
Pairat Farm,45055,
