title,legacyId,legacyParentId
Wang Dong Farm,49944,48860
Wanghin,44754,44456
Wangmuang,44835,46879
Wangmuang Farm,44833,46878
Wangpai Farm,44498,44456
Wangree Farm,48862,48860
Wangrongyai,44737,46878
Wangsomboon Farm,49033,46878
Wanich Farm Ltd,44655,46925
"Wannakiat  Co.,Ltd",49997,44438
Western Brand Ltd,50005,
Yanisa Farm,45146,47006
Yongcharoen Farm 2,44649,46925
Zaklad Wylegu I Hodowla Drobiu Pawel Krzeczkowski,49492,
ZAKLADY - CATCHING,49429,44418
ZAKLADY - GROWER FARM,46876,44418
ZAKLADY - HATCHERY,46730,44418
ZAKLADY - LAYER FARMS,46875,44418
Zakrzewo,44699,44695
ZWD BIALOBRZEGI Sp. z o.o.,45178,
ZWD Bialobrzegi: Breeders,45180,45178
ZWD Bialobrzegi: Hatchery,45179,45178
Zwdmalec.pl,48755,
Jankam Farm,50039,44438
Thai Foods Contractors,50073,47006
Cargill Meats Farm 18,50112,44438
Progress Inter Farm broiler project,49293,46982
Supbuatong broiler project,50125,46982
Swang Farm,50053,44438
Progress Inter Farm Hatchery project,50126,46984
J.S Pattanakarnkaset The Hen Ltd Farm Co.Ltd,50033,44438
Prasit Farm Co.Ltd,50046,44438
Wihandaeng Broiler Farm 3,50100,46925
PPJ Branch 1 Farm,50040,44438
Mungmye Farm Co.Ltd,50034,44438
Western Brand: Growers,50068,50005
QCF Co Ltd,50107,
"ZAKLADY DROBIARSKIE ""KOZIEGLOWY"" SP Z O. O.",44418,
Prasit Branch 1 Farm,50047,44438
V.O.F: Breeder,50134,49578
"KP Broiler Farm Co, Ltd",50041,44438
Emilianow,50055,46965
May-Oak Farm,50035,44438
Cargill Siam Farm 5,50108,44438
Song-P-Nong Farm,50048,44438
Lew Thong Farm Co.Ltd,50042,44438
Tankun Farm,50056,44456
Chaibadan Breeder Farm 3,50096,46926
Vichayarat Farm,50036,44438
Tandum Farm,50070,48860
Cargill Meats Company Broiler Farm,50109,44438
Better Foods Company Ltd,44583,46925
Sutthi Farm,50049,44438
Srisuwankankaset Farm,50103,47006
Suphan Inter Farm Co.Ltd,50043,44438
Chaibadan Breeder Farm 4,50097,46926
Tar-Tle Farm,50037,44438
Pramoen Farm,50071,47006
Cargill Meats Farm 17,50110,44438
Western Brand: Breeders,50065,50005
Phethai Farm,50104,47006
Hathaiyut Farm,50044,44438
Wihandaeng Broiler Farm 1,50098,46925
Jankam - 2 Farm,50038,44438
Munkong Farm,50072,47006
Supcharoen broiler project,50124,46982
J.S.2 Farm,50032,44438
Western Brand: Rearers,50066,50005
Preecha Farm,50045,44438
Subcharoen Farm,50118,44456
Wihandaeng Broiler Farm 2,50099,46925
St Davids Poultry Team,50153,
"?ytkowice 1, 26-930 Garbatka Letnisko",46975,
64 – 980 TRZCIANKA,49249,46876
Cobb Ireland,50154,50153
"Prusinowice 67B, 06-150 ?wiercze",46980,
78 – 627 Rozewo,49250,46876
Cobb Ireland: Breeders,50155,50154
Pakchong Breeder Farm 1 ,44967,46926
77 – 400 ZLOTOW,44893,46876
"Garbatka Dziewi?tka 4, 26-930 Garbatka Letnisko",46969,
78 - 627 RÓ?EWO/RÓ?EWO,47396,46876
Gro?sko,46929,44695
"Wiosenna 127,  05-587 S?omczyn",46970,
78 - 627 RÓ?EWO/RÓ?EWO,44421,
Gier?atowo,47397,44695
