legacyId,companyId
94313,44536
94313,44546
94313,44547
94313,44515
94313,44516
94313,44548
94313,44549
94313,44724
94313,44566
94313,44567
94313,44545
94313,44519
94313,46937
94313,44811
94313,44441
94313,49456
94313,49455
94313,44445
94313,44815
94313,46935
94313,44817
94313,49454
94313,44818
94313,49458
94313,44442
94313,44443
94313,44768
94313,44765
94313,49957
94313,49450
94313,49449
94313,49930
94313,44703
94313,44550
94313,49563
94313,49565
94313,44446
94313,44544
94313,44568
94313,44726
94313,49564
94313,48792
94313,44551
94313,44437
94313,46878
94313,46877
94313,46879
94313,44541
94313,44706
94313,44552
94313,44569
94313,44527
94313,45126
94313,44721
94313,44828
94313,44553
94313,46932
94313,44727
94313,44728
94313,44570
94313,44717
94313,45018
94313,45019
94313,44509
94313,44510
94313,44511
94313,46933
94313,44529
94313,44523
94313,44554
94313,44555
94313,44556
94313,45020
94313,44701
94313,44557
94313,44558
94313,44559
94313,44729
94313,44730
94313,44571
94313,44731
94313,44700
94313,44733
94313,44712
94313,45015
94313,45016
94313,44709
94313,45127
94313,44560
94313,44540
94313,44816
94313,44531
94313,44507
94313,44965
94313,44716
94313,44572
94313,44834
94313,50133
94313,44964
94313,49459
94313,49453
94313,44812
94313,44444
94313,49448
94313,44814
94313,44439
94313,49445
94313,44810
94313,44813
94313,49446
94313,49447
94313,48788
94313,49416
94313,44767
94313,44518
94313,44769
94313,44764
94313,44522
94313,44534
94313,44561
94313,44562
94313,44563
94313,44831
94313,46934
94313,46938
94313,44836
94313,44838
94313,44777
94313,44734
94313,44778
94313,44573
94313,45182
94313,44574
94313,44722
94313,44575
94313,44539
94313,44576
94313,44530
94313,44577
94313,45125
94313,44843
94313,44841
94313,44839
94313,44840
94313,44842
94313,48793
94313,48791
94313,44735
94313,44736
94313,44707
94313,44535
94313,44524
94313,44704
94313,44830
94313,44705
94313,44564
94313,44966
94313,44542
94313,50026
94313,44837
94313,44543
94313,44538
94313,49451
94313,44533
94313,44512
94313,44565
94313,44779
94313,45128
94313,44532
94313,44513
94313,44514
94313,44710
94313,49457
94313,46936
94313,44766
94313,44578
94313,44579
94313,44525
94313,44580
94313,44832
94313,44581
94313,46931
94313,44508
94313,44528
94313,44504
94313,44505
94313,44506
94313,44517
94313,44835
94313,44833
94313,44737
94314,44536
94314,44546
94314,44547
94314,44515
94314,44516
94314,44548
94314,44549
94314,44724
94314,44566
94314,44567
94314,44545
94314,44519
94314,46937
94314,44811
94314,44441
94314,49456
94314,49455
94314,44445
94314,44815
94314,46935
94314,44817
94314,49454
94314,44818
94314,49458
94314,44442
94314,44443
94314,44768
94314,44765
94314,49957
94314,49450
94314,49449
94314,49930
94314,44703
94314,44550
94314,49563
94314,49565
94314,44446
94314,44544
94314,44568
94314,44726
94314,49564
94314,48792
94314,44551
94314,44437
94314,46878
94314,46877
94314,46879
94314,44541
94314,44706
94314,44552
94314,44569
94314,44527
94314,45126
94314,44721
94314,44828
94314,44553
94314,46932
94314,44727
94314,44728
94314,44570
94314,44717
94314,45018
94314,45019
94314,44509
94314,44510
94314,44511
94314,46933
94314,44529
94314,44523
94314,44554
94314,44555
94314,44556
94314,45020
94314,44701
94314,44557
94314,44558
94314,44559
94314,44729
94314,44730
94314,44571
94314,44731
94314,44700
94314,44733
94314,44712
94314,45015
94314,45016
94314,44709
94314,45127
94314,44560
94314,44540
94314,44816
94314,44531
94314,44507
94314,44965
94314,44716
94314,44572
94314,44834
94314,50133
94314,44964
94314,49459
94314,49453
94314,44812
94314,44444
94314,49448
94314,44814
94314,44439
94314,49445
94314,44810
94314,44813
94314,49446
94314,49447
94314,48788
94314,49416
94314,44767
94314,44518
94314,44769
94314,44764
94314,44522
94314,44534
94314,44561
94314,44562
94314,44563
94314,44831
94314,46934
94314,46938
94314,44836
94314,44838
94314,44777
94314,44734
94314,44778
94314,44573
94314,45182
94314,44574
94314,44722
94314,44575
94314,44539
94314,44576
94314,44530
94314,44577
94314,45125
94314,44843
94314,44841
94314,44839
94314,44840
94314,44842
94314,48793
94314,48791
94314,44735
94314,44736
94314,44707
94314,44535
94314,44524
94314,44704
94314,44830
94314,44705
94314,44564
94314,44966
94314,44542
94314,50026
94314,44837
94314,44543
94314,44538
94314,49451
94314,44533
94314,44512
94314,44565
94314,44779
94314,45128
94314,44532
94314,44513
94314,44514
94314,44710
94314,49457
94314,46936
94314,44766
94314,44578
94314,44579
94314,44525
94314,44580
94314,44832
94314,44581
94314,46931
94314,44508
94314,44528
94314,44504
94314,44505
94314,44506
94314,44517
94314,44835
94314,44833
94314,44737
94315,44536
94315,44546
94315,44547
94315,44515
94315,44516
94315,44548
94315,44549
94315,44724
94315,44566
94315,44567
94315,44545
94315,44519
94315,46937
94315,44811
94315,44441
94315,49456
94315,49455
94315,44445
94315,44815
94315,46935
94315,44817
94315,49454
94315,44818
94315,49458
94315,44442
94315,44443
94315,44768
94315,44765
94315,49957
94315,49450
94315,49449
94315,49930
94315,44703
94315,44550
94315,49563
94315,49565
94315,44446
94315,44544
94315,44568
94315,44726
94315,49564
94315,48792
94315,44551
94315,44437
94315,46878
94315,46877
94315,46879
94315,44541
94315,44706
94315,44552
94315,44569
94315,44527
94315,45126
94315,44721
94315,44828
94315,44553
94315,46932
94315,44727
94315,44728
94315,44570
94315,44717
94315,45018
94315,45019
94315,44509
94315,44510
94315,44511
94315,46933
94315,44529
94315,44523
94315,44554
94315,44555
94315,44556
94315,45020
94315,44701
94315,44557
94315,44558
94315,44559
94315,44729
94315,44730
94315,44571
94315,44731
94315,44700
94315,44733
94315,44712
94315,45015
94315,45016
94315,44709
94315,45127
94315,44560
94315,44540
94315,44816
94315,44531
94315,44507
94315,44965
94315,44716
94315,44572
94315,44834
94315,50133
94315,44964
94315,49459
94315,49453
94315,44812
94315,44444
94315,49448
94315,44814
94315,44439
94315,49445
94315,44810
94315,44813
94315,49446
94315,49447
94315,48788
94315,49416
94315,44767
94315,44518
94315,44769
94315,44764
94315,44522
94315,44534
94315,44561
94315,44562
94315,44563
94315,44831
94315,46934
94315,46938
94315,44836
94315,44838
94315,44777
94315,44734
94315,44778
94315,44573
94315,45182
94315,44574
94315,44722
94315,44575
94315,44539
94315,44576
94315,44530
94315,44577
94315,45125
94315,44843
94315,44841
94315,44839
94315,44840
94315,44842
94315,48793
94315,48791
94315,44735
94315,44736
94315,44707
94315,44535
94315,44524
94315,44704
94315,44830
94315,44705
94315,44564
94315,44966
94315,44542
94315,50026
94315,44837
94315,44543
94315,44538
94315,49451
94315,44533
94315,44512
94315,44565
94315,44779
94315,45128
94315,44532
94315,44513
94315,44514
94315,44710
94315,49457
94315,46936
94315,44766
94315,44578
94315,44579
94315,44525
94315,44580
94315,44832
94315,44581
94315,46931
94315,44508
94315,44528
94315,44504
94315,44505
94315,44506
94315,44517
94315,44835
94315,44833
94315,44737
94316,44536
94316,44546
94316,44547
94316,44515
94316,44516
94316,44548
94316,44549
94316,44724
94316,44566
94316,44567
94316,44545
94316,44519
94316,46937
94316,44811
94316,44441
94316,49456
94316,49455
94316,44445
94316,44815
94316,46935
94316,44817
94316,49454
94316,44818
94316,49458
94316,44442
